year,GEOID,NAME,race_ethnicity,sex,adult_above_poverty_line_pop,adult_below_poverty_line_pop,child_above_poverty_line_pop,child_below_poverty_line_pop,total_child_pop,total_pop,total_pov,child_pov_pct,pov_pct,adult_above_poverty_line_pop_moe,adult_below_poverty_line_pop_moe,child_above_poverty_line_pop_moe,child_below_poverty_line_pop_moe,total_child_pop_moe,total_pop_moe,total_pov_moe,child_pov_pct_moe,pov_pct_moe,high_child_pov_pct_moe,high_pov_pct_moe,child_poverty_year,total_poverty_year
2023,24033805906,Census Tract 8059.06; Prince George's County; Maryland,twoormoreraces,female,72,32,19,63,82,186,95,0.768292682926829,0.510752688172043,68.9927532426414,50.7444578254611,37.3496987939662,107.656862298694,113.951744172698,142.548237449644,119.016805536025,0.764051076791814,0.506180896180992,FALSE,FALSE,2023,2023
2023,24033805906,Census Tract 8059.06; Prince George's County; Maryland,twoormoreraces,male,148,40,46,0,46,234,40,,0.170940170940171,93.5093578204877,61.7008914036094,53.5256947642905,34.3074335968169,63.5767253010093,128.813819134439,70.5974503788912,,0.286648099954549,TRUE,FALSE,2020,2023
2023,24033805906,Census Tract 8059.06; Prince George's County; Maryland,twoormoreraces,total,220,72,65,63,128,420,135,0.4921875,0.321428571428571,116.211014968462,79.8936793494955,65.2763356814704,112.995575134604,130.495210640084,192.137971260238,138.38713813068,0.726299922933519,0.294862195161255,FALSE,FALSE,2023,2023
2023,24033805906,Census Tract 8059.06; Prince George's County; Maryland,whitealone,female,59,6,0,16,16,81,22,1,0.433823529411765,49.0611862881443,36.0277670693036,34.3074335968169,34.3365694267788,48.5386443980464,77.8524244966077,49.7694685525172,0,0.409333411292407,FALSE,TRUE,2023,2021
2023,24033805906,Census Tract 8059.06; Prince George's County; Maryland,whitealone,male,68,81,0,18,18,167,99,1,0.592814371257485,53.7587202228625,77.2139883699838,34.3074335968169,35.2562051276084,49.1934955049954,106.169675519896,84.882271411644,0,0.341038528739719,FALSE,FALSE,2023,2023
2023,24033805906,Census Tract 8059.06; Prince George's County; Maryland,whitealone,total,127,87,0,34,34,248,121,1,0.487903225806452,72.7873615403114,85.2115015710908,48.5283422342037,49.2239778969559,69.1230786351418,131.670042150825,98.4073168011404,0,0.300584076792365,FALSE,FALSE,2023,2023
2023,24033805906,Census Tract 8059.06; Prince George's County; Maryland,"whitealone,nothispanicorlatino",female,59,0,0,0,0,59,0,,,49.0611862881443,37.0540146272978,34.3074335968169,34.3074335968169,48.5180378828328,78.3198569968051,50.4975246918104,,,FALSE,TRUE,2023,
2023,24033805906,Census Tract 8059.06; Prince George's County; Maryland,"whitealone,nothispanicorlatino",male,58,62,0,0,0,120,62,,0.516666666666667,51.5072810387037,75.6108457828637,34.3074335968169,34.3074335968169,48.5180378828328,103.556747727997,83.0301150185883,,0.52910352495845,FALSE,FALSE,2023,2023
2023,24033805906,Census Tract 8059.06; Prince George's County; Maryland,"whitealone,nothispanicorlatino",total,117,62,0,0,0,179,62,,0.346368715083799,71.1407056473296,84.2080756222347,48.5283422342037,48.5283422342037,68.629439747094,129.853763903862,97.1905345185425,,0.481324525298499,FALSE,FALSE,2023,2023
2023,24033805907,Census Tract 8059.07; Prince George's County; Maryland,asianalone,female,56,8,0,0,0,64,8,,,67.6313536756437,36.6878726556883,34.3074335968169,34.3074335968169,48.5180378828328,90.9615303301346,50.2294734194974,,,FALSE,TRUE,2023,2020
