GEOID,NAME,variable,population,moe,edu_less_than_hs_pct,disability_pct,linguistic_isolation_pct,female_headed_family_pct,child_poverty_pct,child_poverty_moe,unemployment_pct,lf_participation_pct,total_population,year,xgb_pred,smoothed_pred
24003740701,Census Tract 7407.01; Anne Arundel County; Maryland,B01003_001,6821,891,0.004,0.102,0.058,0.391,0,2.4,0.016,0.691,6821,2023,0.105434693396091,0.0830195045332247
24003731207,Census Tract 7312.07; Anne Arundel County; Maryland,B01003_001,3325,427,0.003,0.041,0.007,0.106,0,4.4,0.023,0.701,3325,2023,0.0341607518494129,0.107918970213703
24003730605,Census Tract 7306.05; Anne Arundel County; Maryland,B01003_001,3040,545,0.011,0.144,0.024,0.204,0.184,14.8,0.047,0.61,3040,2023,0.0893477946519852,0.0963634492618652
24003731107,Census Tract 7311.07; Anne Arundel County; Maryland,B01003_001,3369,560,0,0.045,0.011,0.125,0.062,9.7,0,0.584,3369,2023,0.0196070354431868,0.10537191761339
24003730507,Census Tract 7305.07; Anne Arundel County; Maryland,B01003_001,4416,711,0.023,0.168,0.033,0.198,0.019,3.6,0.074,0.692,4416,2023,0.112596347928047,0.161346615580377
24005411413,Census Tract 4114.13; Baltimore County; Maryland,B01003_001,2835,556,0.01,0.367,0,0.574,0,41.1,0,0.089,2835,2023,0.659070551395416,0.146051656579112
24021751905,Census Tract 7519.05; Frederick County; Maryland,B01003_001,4299,705,0,0.111,0.043,0.174,0.006,1.2,0.012,0.807,4299,2023,0.0640044808387756,0.0850592430608686
24031700836,Census Tract 7008.36; Montgomery County; Maryland,B01003_001,1391,568,0,0.078,0.274,0.376,0,13.5,0.033,0.822,1391,2023,0.399109393358231,0.14369918346673
24033800218,Census Tract 8002.18; Prince George's County; Maryland,B01003_001,7312,1441,0.014,0.103,0.182,0.325,0.388,25.1,0.074,0.788,7312,2023,0.139432162046433,0.10334642116637
24027605403,Census Tract 6054.03; Howard County; Maryland,B01003_001,3776,705,0.02,0.111,0.171,0.361,0.109,12.3,0.119,0.758,3776,2023,0.152514144778252,0.13137998306896
24003702100,Census Tract 7021; Anne Arundel County; Maryland,B01003_001,6572,777,0.01,0.093,0.003,0.189,0,3.5,0.02,0.663,6572,2023,0.0592067800462246,0.0676103498532713
24003740900,Census Tract 7409; Anne Arundel County; Maryland,B01003_001,8287,1016,0.007,0.111,0.048,0.214,0.103,9.7,0.057,0.715,8287,2023,0.068130150437355,0.0827546946049931
24003750803,Census Tract 7508.03; Anne Arundel County; Maryland,B01003_001,6742,765,0.034,0.207,0.058,0.345,0.145,14.6,0.075,0.762,6742,2023,0.221150308847427,0.101710073654829
24033803516,Census Tract 8035.16; Prince George's County; Maryland,B01003_001,4497,564,0.032,0.077,0.074,0.513,0,4.7,0.076,0.763,4497,2023,0.145405054092407,0.130365862657774
24033801808,Census Tract 8018.08; Prince George's County; Maryland,B01003_001,3463,404,0.006,0.082,0.059,0.459,0.235,19.6,0.085,0.728,3463,2023,0.137909576296806,0.196825723874292
24033802104,Census Tract 8021.04; Prince George's County; Maryland,B01003_001,1962,294,0.02,0.199,0.039,0.565,0.328,23.1,0.072,0.631,1962,2023,0.29759293794632,0.196763883872086
24033803524,Census Tract 8035.24; Prince George's County; Maryland,B01003_001,5608,1238,0.03,0.105,0.095,0.557,0.169,17.3,0.092,0.761,5608,2023,0.152551993727684,0.177322365175846
24033801006,Census Tract 8010.06; Prince George's County; Maryland,B01003_001,5381,1447,0.018,0.13,0.088,0.204,0.054,8.1,0.098,0.674,5381,2023,0.0980701372027397,0.0932651226186067
24033803803,Census Tract 8038.03; Prince George's County; Maryland,B01003_001,6244,1084,0.216,0.121,0.358,0.369,0.096,9.6,0.105,0.735,6244,2023,0.240274950861931,0.166943598799407
24003730300,Census Tract 7303; Anne Arundel County; Maryland,B01003_001,3674,769,0.066,0.145,0.137,0.316,0.065,9.5,0.058,0.672,3674,2023,0.143478125333786,0.173090480021358
24033801801,Census Tract 8018.01; Prince George's County; Maryland,B01003_001,2044,274,0.011,0.094,0.036,0.65,0.351,36.2,0.092,0.7,2044,2023,0.354193389415741,0.202791282522339
24033801209,Census Tract 8012.09; Prince George's County; Maryland,B01003_001,4308,493,0.057,0.108,0.068,0.372,0.131,12.5,0.065,0.606,4308,2023,0.18631212413311,0.140465607157031
24033801005,Census Tract 8010.05; Prince George's County; Maryland,B01003_001,3999,444,0.023,0.105,0.013,0.307,0,6.5,0.056,0.698,3999,2023,0.0918338745832443,0.128613843434583
24033803508,Census Tract 8035.08; Prince George's County; Maryland,B01003_001,3842,490,0.128,0.111,0.155,0.334,0.366,18.5,0.092,0.719,3842,2023,0.194140747189522,0.203732788005257
24033800403,Census Tract 8004.03; Prince George's County; Maryland,B01003_001,4136,512,0.021,0.078,0.05,0.206,0.096,10.1,0.035,0.698,4136,2023,0.07034732401371,0.117084429058817
24033805801,Census Tract 8058.01; Prince George's County; Maryland,B01003_001,3962,627,0.251,0.056,0.39,0.18,0.115,12,0.085,0.673,3962,2023,0.241460755467415,0.226404368610338
24033805201,Census Tract 8052.01; Prince George's County; Maryland,B01003_001,4902,1167,0.214,0.043,0.502,0.2,0.069,6.2,0.038,0.731,4902,2023,0.155915588140488,0.148347586381321
24033803002,Census Tract 8030.02; Prince George's County; Maryland,B01003_001,2588,479,0.072,0.154,0.103,0.4,0.038,6.2,0.093,0.65,2588,2023,0.216350421309471,0.19741039185827
24033803607,Census Tract 8036.07; Prince George's County; Maryland,B01003_001,3688,779,0.068,0.157,0.166,0.263,0.067,8.1,0.088,0.644,3688,2023,0.17150342464447,0.170264696172931
24005430800,Census Tract 4308; Baltimore County; Maryland,B01003_001,4084,471,0.016,0.083,0.021,0.228,0.019,3,0.044,0.755,4084,2023,0.0662216544151306,0.190379843123161
24005430300,Census Tract 4303; Baltimore County; Maryland,B01003_001,5969,951,0.054,0.116,0.022,0.475,0.452,26,0,0.612,5969,2023,0.155024439096451,0.121531966603574
24005430200,Census Tract 4302; Baltimore County; Maryland,B01003_001,2910,421,0.159,0.191,0.063,0.336,0.026,6.3,0.056,0.654,2910,2023,0.217460304498672,0.182911695849227
24005420600,Census Tract 4206; Baltimore County; Maryland,B01003_001,4420,789,0.083,0.168,0.072,0.404,0.397,25.4,0.036,0.602,4420,2023,0.191798374056816,0.167016291371861
24005403500,Census Tract 4035; Baltimore County; Maryland,B01003_001,6046,714,0.011,0.102,0.051,0.18,0.092,9.2,0.086,0.579,6046,2023,0.110185943543911,0.122314336930199
24005492101,Census Tract 4921.01; Baltimore County; Maryland,B01003_001,4237,534,0.051,0.13,0.034,0.335,0.019,3.6,0.08,0.661,4237,2023,0.174164667725563,0.118368466870483
24005402303,Census Tract 4023.03; Baltimore County; Maryland,B01003_001,6498,800,0.014,0.096,0.041,0.486,0.023,3.6,0.054,0.709,6498,2023,0.132078230381012,0.128960238871529
24005490400,Census Tract 4904; Baltimore County; Maryland,B01003_001,1940,339,0.004,0.087,0.007,0.251,0.07,9,0.026,0.527,1940,2023,0.120960257947445,0.150158696419261
24005402505,Census Tract 4025.05; Baltimore County; Maryland,B01003_001,2943,450,0.045,0.214,0.026,0.532,0.23,21.7,0.007,0.695,2943,2023,0.271392047405243,0.155754918422249
